N°,Tile description
1,Room with obelisk and columns
2,Room with an hole with a grid
3,Corridor
4,Corridor with little room
5,Room
6,Room with an hole with a grid
7,corridor
8,room
9,Room with barrels (1 entrance)
10,Corridor and a room
11,Room
12,Corridor with magic drawing on the floor
13,Room with strange stones … may be a trap
14,Room with a chessboard at the center
15,Room
16,Open room with Columns
17,Room with 2 holes (closed by grids)
18,Room with a tower of boxes
19,Room with a strange drawing
20,Room
21,Room with table and chairs
22,Room with 2 flashes drawn
23,Room with little sanctuary and a column
24,room
25,Room with basin and fountain
26,Little water channel between 2 walls with a bridge
27,Room with a statue
28,Room with an « old one » drawing and 4 columns
29,Room with a magic vortex
30,Room with a grid on the floor
31,Room with little stones floor
32,Room with a chimney
33,room
34,corridor
35,Room with an eye drawn on the floor
36,Corridor
37,Room with an hole
38,Room with magical sun and barrels
39,Room with a bed
40,"Room with a chimney, an obelisk and 4 strange
« magical suns » drawn"
41,Corridor
42,Corridor
43,Corridor
44,Corridor
45,Corridor (with number 46)
46,"Room with lines drawn on the the ground with
number 46 too"
47,Room with 4 holes and 1 grid open
48,Corridor (with a sarcophagus in the walls)
49,Corridor
50,Room with barrels
51,Corridor with bones
52,corridors
53,Skull room with 3 grids
54,corridor
55,Corridor with a little duct (no water)
56,corridor
57,Cooridor with a strange old column
58,Room with wooden floor
59,corridor
60,Room with columns and a snake drawn on the floor
61,Corridor with barrels
62,room
63,room
64,Room with little stones or fungus
65,Room with little stones or fungus
66,corridor
67,corridor
68,corridor
69,2 separate corridors
70,corridor
71,room
72,corridor
73,Dead en room with box and barrel
74,2 separate corridors
75,Dead end corridor
76,Room with magical sun drawn and 4 columns
77,room
78,room
79,Room with barrels
80,Room with boxes
81,Room with a strange drawing
82,Corridor with little boxes
83,Dead end room
84,Room with a tentacle
85,room
86,Room with a tentacle and boxes
87,Room with a tentacle
88,corridor
89,Dead end corridor
90,Dead end broken corridor with littles stones
91,"Dead end corridor with a strange creature in the
walls"
92,Corridor with a room (dead end)
93,corridor
94,Altar with tantales and strange things drawn
95,3 dead en corridors
96,corridors
97,room
98,corridor
99,corridor
100,"Dead en room (exits are closed by stones, barrels
and boxes) Litlles drawings on the floor"
101,Little room
102,Room with creature in the wall
103,Room with tentacles in the wall
104,room
105,"Room with a little wall at the center and 1 exit
blocked with barrels"
106,Room with a grid and 6 strange stones liners
107,corridor
108,Room with a spider drawn
109,Strange corridors with spider threads
110,Strange corridor
111,"Strange corridor with spider thread and a giant
spider (hiden or in the walls)"
112,Strange corridors with spider threads
113,Room with a spider net
114,Cooridor (spider net in the walls)
115,Room with drawings in the ground
116,Room with a spider net
117,Rest room (3 tables and chairs)
118,Little chapel
119,Room with little table/chairs and corridor
120,"Room with a strange basin in the center (dark
unknown liquid)"
121,Opened room
122,"Room with a square grid and a chest, one exit locked by stones"
123,Opened room with a grid
124,"Opened room, some strange little things are creeping on the walls
and a tantacle is exiting of a hole"
125,Opened room with 3 strange stones on the floor
126,Opened room
127,Opened room with floral drawings on the floor
128,Opened room with 4 magical drawings
129,"Great corridor or opened room with a drawing of « infinity
dragon » (a dragon eating his own tail)"
130,Great corridor or opened room
131,Great corridor or opened room
132,Great corridor or opened room with 2 grids
133,Opened room with a sarcophagus / tomb
134,Opened room
135,Opened room with a fountain
136,Corridors withs barrels and boxes on one side
137,"Corridor with something like a trap (9 small holes on the floor like
if peaks or spears could go out)"
138,corridor with a hole. Dishes in one recess.
139,"2 separates corridors with one barrel. But between them a
strange wooden pillar seems to hide a mechanism"
140,"Corridor with a big key, some coins and a chest in the wall."
141,"2 Separate corridor. One is passing below the other. At the center
of the top one, a strange stone is coming out from the floor"
142,"Corridors with amphoras. Skull of a great monster is buried in the
walls"
143,Corridor with a hole
144,Separate corridors (I forgot to write the number)
145,Separate corridors (I forgot to write the number)
146,Corridor with a grid buried in the walls … why ?
147,Corridor with a small chest
148,"Corridor with a strange thing on the floor, like if the floor was
contamined by something. A little altar with glyphes is placed in
the corridor …"
149,corridors
150,Small room with fungus and a hole
151,Cave with mushrooms
152,Cave with mushrooms and a poor adventurer …
153,Cave with mushrooms
154,Cave with mushrooms
155,Cave with mushrooms
156,Cave with mushrooms and fungus
157,Cave with mushrooms and fungus
158,Cave with mushrooms and fungus
159,Cave with mushrooms and fungus
160,Cave with mushrooms and fungus
161,Cave with mushrooms
162,Cave with mushrooms and fungus
163,Cave with mushrooms and fungus
164,Cave with mushrooms and fungus
165,Cave with mushrooms
166,Cave with mushrooms
167,Cave with mushrooms
168,Cave with mushrooms
169,Cave with mushrooms and fungus
